CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Beto Barbosa;7182;MORENÁ MORENOU;Eu gosto de você menina só você sabe;9F;;
Beto Barbosa ;3153;MEU AMOR NÃO VÁ EMBORA;Meu amor não vá embora não;1A;;
Beto Barbosa ;3407;BALANÇO TRILEGAL;Eu vou mostrar pra você como se;1B;;
Beto Barbosa ;3419;DONA;É amor e prazer uma doce paixão;1F;;
Beto Barbosa ;3650;BALANÇA O BUMBUM MUCHACHA;Quando eu te vejo bate meu coração;2B;;
Beto Barbosa ;3457;BEIJINHO NA BOCA;Beijinho na boca gostoso doce mel;M;;
Beto Barbosa ;3485;PRETA;Preta fala pra mim;M;;
Beto Guedes;6420;MARIA SOLIDÁRIA;Eu choro de cara suja….;6A;;
Beto Guedes;6544;PAISAGEM DA JANELA;Da janela lateral do quarto de dormir…;6D;;
Beto Guedes;6646;AMOR DE ÍNDIO;Tudo que move é sagrado...;7A;;
Beto Guedes / R. Bastos;3493;SOL DE PRIMAVERA;Quando entrar setembro;M;;
Bette Midler;4657;THE ROSE;Some say love it's a river that;USAH;;
Beyonce;5945;NAUGHTY GIRL;I love to love you baby;INT03, USA3B;;
Beyonce;5940;ME MYSELF AND I;I can't believe;INT03, USA3C;;
Beyonce;2506;IF I WERE A BOY;Remember those walls I built;INT04A;;
Beyonce;2524;HALO;All the single ladies;INT04A;;
Beyonce;2537;SINGLE LADIES;Turn the lights on;INT04A;;
Beyonce;2538;SWEET DREAMS;If I were a boy;INT04A;;
Beyonce;19374;EGO;It's on you baby let's get lost;INT07B;;
Beyonce;19582;LISTEN;Listen to the song here in my heart;INT08C;;
Beyoncé;19280;XO;Your love is bright as ever even in the shadows;INT06C;;
Beyoncé;19327;BROKEN-HEARTED GIRL;You're everything I thougt you never were;INT07A;;
Beyoncé;19503;IRREPLACEABLE;To the left to the left;INT08A;;
Beyonce - Jay Z;19690;CRAZY IN LOVE;Oh-oh-oh... I look and stare so deep in you eyes;INT09B;;
Bezerra da Silva;9435;DEFUNTO CAGUETE;Mas é que eu fui num velório;13A;;
Bezerra da Silva;15619;PAGODE NA CASA DO GAGO;Fui num pagode na casa do gago e o rango;26D;;
Biafra;1385;LEÃO FERIDO;Feche os olhos não te quero mais;17B;;
Biafra;1444;AGUARDENTE;Quando você me encontrar sem medo;17D;;
Biafra;1537;PERDÕES;Perdoar não vai adiantar;18B;;
Biafra;1538;SEU NOME;Quando escuto a sua voz;18B;;
Biafra;1579;UMA VEZ E NUNCA MAIS;Olhar pro céu;18C;;
Biafra;6435;SONHO DE ÍCARO;Voar voar subir subir ir por onde for….;6A;;
Biafra;6797;TE AMO;Foi assim que de repente...;7D;;
Biafra ;1765;ANTES QUE EU TE ESQUEÇA;Antes que eu te esqueça e tudo ;19D;;
Biafra ;3973;RUA RAMALHETE;Sem querer fui me lembrar de uma;3A;;
Biafra ;4123;MOLDURA;O tempo passa e a gente;3E;;
Bicho De Pé;6226;NOSSO XOTE;Moreno me convidou...;5D;;
Big Bang;18463;KOE O KIKASETE;Sahki made no ame wa moh agatte;JP7C;;
Bill Halley & The Comets;4959;ROCK AROUND THE CLOCK;One, two, three o'clock, four o'clok, ro...;INT01, USA2B;;
Bill Medley & J.Warnes;9131;I'VE HAD THE TIME OF MY LIFE;Now I've had the time of my life…;INT02, 8E;;
Billy Ban Ban;5171;SHIROI BURANKO;Ano shiroi buranko;JP1;;
Billy Idol;19484;DANCING WITH MYSELF;On the floor of Tokyo;INT08A;;
Billy Idol ;9217;EYES WITHOUT A FACE ; I'm all out of hope ;INT02, A44;;
Billy Idol ;9231;REBEL YELL ; Last night a little dancer ;INT02, A44;;
Billy Joel;4928;JUST THE WAY YOU ARE;Don't go changing to try and please me...;INT01, USA2A;;
Billy Joel;4945;MY LIFE;Oooh...;INT01, USA2A;;
Billy Joel;4924;IT'S STILL ROCK 'N' ROLL TO ME;What's the matter with the clothes I'm we...;INT01, USA2B;;
Billy Joel;4987;UPTOWN GIRL;Oh oh oh oh oh oh oh oh oh oh oh...;INT01, USA2B;;
Billy Joel;4979;THE RIVER OF DREAMS;Oooh oooh oooh oooh oooh oooh...;INT01,USA2C;;
Billy Joel;4601;PIANO MAN;It's nine o'clock on a Saturday;USAA;;
Billy Joel;4583;HONESTY;If you search for tenderness;USAF;;
Billy Joel ;9275;TELL HER ABOUT IT ; Listen boy, ;INT02, A45;;
Billy Paul;9044;ME AND MRS. JONES;Me and Mrs. Jones;INT01, A43;;
Billy Paul;19347;ONLY THE STRONG SURVIVE;I see you sitting there all alone;INT07A;;
Billy Ray Cyrus;4852;ACHY BREAKY HEART;You can tell the world, you never was my...;INT01, USA2B;;
Billy Swan;4907;I CAN HELP;If you've got a problem, don't care what...;INT01, USA2A;;
Biquini Cavadão;9667;EM ALGUM LUGAR DO TEMPO;Não guarde mágoa de mim;14C;;
Biquini Cavadão;1644;AGORA É MODA;Agora é moda;19A;;
Biquini Cavadão;2829;DANI;Dane-se a hora se é cedo ou se é tarde;22B;;
Biquini Cavadão;2873;QUANDO EU TE ENCONTRAR;Eu já sei o que os meus olhos vão querer;22C;;
Biquini Cavadão;2874;QUANTO TEMPO DEMORA UM MÊS;Acordei com o seu gosto e a lembrança do seu;22C;;
Biquini Cavadão;2880;VOCÊ EXISTE, EU SEI;Há tanto tempo venho procurando ;22C;;
Biquini Cavadão;15011;ESCUTA AQUI;Escuta aqui eu não sou culpado de tudo;23A;;
Biquini Cavadão;15071;IMPOSSÍVEL;Tudo bem quando termina bem;23B;;
Biquini Cavadão;15080;ZÉ NINGUÉM;Quem foi que disse que amar é sofrer;23B;;
Biquini Cavadão;15120;VOU TE LEVAR COMIGO;As curvas no caminho, meus olhos tão distantes;23C;;
Biquini Cavadão;15428;RODA GIGANTE;Quero aprender a amar pra fazer as ;25C;;
Biquini Cavadão;6475;TÉDIO;Alô.. Sabe esses dias em…;6B;;
Biquíni Cavadão;3268;TIMIDEZ;Toda vez que te olho crio um romance;1D;;
Biquíni Cavadão;3957;JANAÍNA;Janaína acorda todo dia às quatro;3A;;
Biquíni Cavadão;3287;VENTO E VENTANIA;Vento e ventania me leve para as;M;;
Biquini Cavadão e Renato Russo ;1096;MÚMIAS ;Bem aventurados sejam aqueles;15B;;
Biro Do Cavaco;3570;JÉSSICA;Sem a gente esperar nasce ..;1B;;
BISPO MARCELO CRIVELLA;5627;O AMOR MAIOR;Tudo que restou de uma paixão...;EVA;;
BISPO MARCELO CRIVELLA;5631;PERFUME UNIVERSAL;Ela veio movida na força do amor...;EVA;;
Black Eyed Peas;2515;I GOTTA FEELING;I gotta feelin';INT04A;;
Black Eyed Peas;19137;MY HUMPS;What you gonna do with all that junk;INT05D;;
Black Eyed Peas;19432;DON'T STOP THE PARTY;Don't stop the party don't don't don't;INT07C;;
Black Eyed Peas;19680;WHERE IS THE LOVE?;What's wrong with the world mama;INT09A;;
Black Sabbath;19139;PARANOID;Finished with my woman 'cause she;INT05D;;
Black Sabbath;19244;CHANGES;I feel unhappy I feel so sad;INT06C;;
Black Sabbath;19617;IRON MAN;Has he lost his mind;INT08D;;
Blind Melon;2623;NO RAIN;Uh uh uh uh uh... All I can say is that my;INT04D;;
Blink-182;19545;I MISS YOU;Hello there the angel from my nightmare;INT08B;;
Blink-182;19683;ALL THE SMALL THINGS;All the small things true care truth brings;INT09B;;
Blitz;9446;EGOTRIP;Um indivíduo alto magro vestindo um;13E;;
Blitz;3299;WEEKEND;Alô alô ativo ouvinte;1B;;
Blitz;3444;QUEM TEM PÕE;Eu moro longe não tenho carro nem;1F;;
Blitz;3293;VOCÊ NÃO SOUBE ME AMAR;Sabe essas noites que você sai;1K;;
Blitz;6041;A DOIS PASSOS DO PARAÍSO;Longe de casa há mais de uma semana...;4H;;
Blitz;3132;MAIS UMA DE AMOR;Perdi meu amor no paraíso;M;;
Blondie;4872;CALL ME;Color me your color  baby color me your...;INT01, USA2B;;
Blondie;4899;HEART OF GLASS;Once I had a love and it was a gas...;INT01, USA2B;;
Blondie;4981;THE TIDE IS HIGH;The tide is high but I'm holding on...;INT01, USA2B;;
Boa;5692;EVERY HEART;Ikutsu namidao nagashitara...;JP3;;
Boa;5718;JEWEL SONG;Wow wow wow... wo wo uh wo...;JP3;;
Boa;5731;KISEKI;Zutto sagashi teita honto o watashi...;JP3;;
Boa;5747;LISTEN TO MY HEART;Uh baby nani o miteru no...;JP3;;
Boa;5768;NOTHING'S GONNA CHANGE;Fuyu no sora kagayaku orion no...;JP3;;
Boa;5769;NUMBER ONE;Jikan wa kaze no yoona hayasa...;JP3;;
Boa;5834;VALENTI;Wo wo wo wo wo wo wo u wo...;JP3;;
Boa;18359;WINTER LOVE;Fuyu no yohsei tachi ga kagayaki mai;JP6D;;
BoA;18502;MAMORITAI ~WHITE WISHES~;Kore de owari soh omohte ita tooi ano;JP7D;;
Bob Dylan;19456;BLOWIN' IN THE WIND;How many roads must a man walk down;INT7D;;
Bob Marley;9016;COULD YOU BE LOVED;Could you be loved and be loved;INT01, A42;;
Bob Marley;9050;REDEMPTION SONG;Old pirates yes they rob I;INT01, A43;;
Bob Marley;5951;NO WOMAN NO CRY;No woman no cry no woman no cry;INT03, USA3A;;
Bob Marley;5925;JAMMIN';All right we're jammin';INT03, USA3D;;
Bob Marley;19236;THREE LITTLE BIRDS;Don't worry about a thing;INT06B;;
Bob Marley;19285;BUFFALO SOLDIER;Buffalo Soldier dreadlock rasta there was a ;INT06D;;
Bob Marley;19575;GET UP, STAND UP;Get up stand up stand up for your rights;INT08C;;
Bob Marley;4718;I SHOT THE SHERIFF;I shot the sheriff...;USAE;;
Bob Marley & The Wailers;9127;IS THIS LOVE;I wanna love you and treat you right…;INT02, 8F;;
Bobby Di Carlo;6119;TIJOLINHO;Sei que se esperar mais um pouquinho...;5A;;
Bobby Di Carlo;7099;CUIDADO PRA NÃO DERRETER;Cuidado pra não derreter;9E;;
Bobby Di Carlo;7171;MARCIANITA;Esperada marcianita;9F;;
Bobby Lewis ;9278;TOSSIN' AND TURNIN' ; Baby, baby ;INT02, A45;;
Bobby Solo;3690;ZÍNGARA;Prendi questa mano zíngara;2B;;
Bobby Solo;7013;CRISTINA;Scrivero per te Cristina;INT01, ITA;;
Bobby Solo;7034;SE PIANGI SE RIDI;Se piange amore io piango con te;INT01, ITA;;
Bobby Solo;7040;UNA LACRIMA SUL VISO;Da una lacrima sul viso ho capito molte cose;INT01, ITA;;
Boca Livre;15137;TOADA;Vem morena ouvir comigo essa cantiga;23D;;
Boca Livre;6834;QUEM TEM A VIOLA;Quem tem a viola pra se acompanhar;7E;;
Boca Livre;1033;A CASA;Era uma casa muito engraçada Não;INF1B;;
Boi Bumbá Caprichoso;6049;BRASIS AMERÍNDIOS;América América Ybyrapytanga...;4H;;
Boi Bumbá Garantido;6058;ETERNO CAMPEÃO;Garantido meu brinquedo de criança...;4H;;
Boka Loka;2908;DESENGANO;Bateu paixão e a saudade logo vem;22D;;
Bolshoi (The);19751;SUNDAY MORNING;I remember when I was young;INT09C;;
Bon Jovi;4858;ALWAYS;This Romeo is bleeding...;INT01, USA2A;;
Bon Jovi;4923;IT'S MY LIFE;This ain't a song for the broken hearted...;INT01, USA2B;;
Bon Jovi;4933;LIVIN' ON A PRAYER;Once upon a time, not so long ago...;INT01, USA2B;;
Bon Jovi;4996;YOU GIVE LOVE A BAD NAME;Shot through the heart and you're to blame...;INT01,USA2C;;
Bon Jovi;5946;NEVER SAY GOODBYE;As I sit in this smokey room;INT03, USA3A;;
Bon Jovi;5922;I'LL BE THERE FOR YOU;I guess this time you're really leavin';INT03, USA3B;;
Bon Jovi;19224;MISUNDERSTOOD;Should I Could I Have said the wrong;INT06B;;
Bon Jovi;19240;WANTED DEAD OR ALIVE;It's all the same only the names will change;INT06B;;
Bon Jovi;19424;BED OF ROSES;Sitting here wasted and wounded ;INT07C;;
Bon Jovi;19606;BLAZE OF GLORY;I wake up in the morning;INT08D;;
Bon Jovi;19671;THANK YOU FOR LOVING ME;It's hard for me to say the things;INT09A;;
Bon Jovi;19755;THIS AIN'T A LOVE SONG;I should've seen it coming when roses d;INT09C;;
Bonde do Forró;1449;DEPOIS DAQUELE BEIJO;Depois daquele beijo que você roubou;17D;;
Bonde do Forró;15722;AI QUE PERIGO;Ela é top é sensação tá descendo até;27C;;
Bonde do Rolê - Caetano Veloso;15843;BABY DON'T DENY IT (BABY-DOLL DE NYLON);Baby don't deny it you know you wanna dance;28B;;
Bonde Do Tigrão;6053;CEROL NA MÃO;Quer dançar quer dançar o Tigrão vai te...;4H;;
Bonde Do Tigrão;6105;O BAILE TODO;Uh uh...Só as cachorras uh uh...;5A;;
Boney M.;4760;RIVERS OF BABYLON;By the rivers of Babylon there we...;USAE;;
Bonnie Tyler;4985;TOTAL ECLIPSE OF THE HEART;Turn around...;INT01, USA2A;;
Bonnie Tyler;9129;IT'S A HEARTACHE;It's a heartache nothing but a heartache…;INT02, 8D;;
Boston ;9230;MORE THAN A FEELING ; I looked out this morning ;INT02, A44;;
Boys Like Girls - Taylor Swift;19238;TWO IS BETTER THAN ONE;I remember what you wore in our first d;INT06B;;
Boyz II Men;19580;I'LL MAKE LOVE TO YOU;Close your eyes make a wish;INT08C;;
Boyz II Men ;9256;END OF THE ROAD ; Girl, you know we belong together, heh ;INT02, A45;;
Bozo;15201;1, 2, 3...VAMOS LÁ;Alô criançada o Bozo chegou trazendo alegria;24B;;
Bozo;15271;SEMPRE RIR;Sempre rir sempre rir pra viver é melhor sempre rir;24C;;
Braga Boys;6036;UMA BOMBA;Sensual o movimento sensual...;4G;;
Brainstorm;19508;MAYBE;My body my hand my heaven my land;INT08A;;
Bread;9027;EVERYTHING I OWN;You sheltered me from harm;INT01, A42;;
Bread;4682;BABY I’M A WANT YOU;Baby I’m a want you Baby I’m a need...;USAA;;
Bread;4735;MAKE IT WITH YOU;Hey, have you ever tried...;USAA;;
Bread;4783;THE DIARY;I found her diary underneath a tree...;USAA;;
Bread;4521;IF;If a picture paints a thousand words;USAE;;
Bread;4681;AUBREY;And Aubrey was her name...;USAF;;
Bread;4786;THE GUITAR MAN;Who draws the crowd and plays...;USAF;;
Brian Adams;4713;HEAVEN;Oh, Thinkin’ about all our younger years...;USAE;;
Brian Adams;4755;PLEASE FORGIVE ME;It still feels like our first night...;USAH;;
Brian McKnight;4863;BACK AT ONE;It's undeniable that we should be toge...;INT01, USA2A;;
Brilho de Neon;9875;SE ENGANOU;Se enganou;14A;;
Britney Spears;4814;BABY ONE MORE TIME;Oh baby baby how was I supposed…;INT01, A41;;
Britney Spears;4881;DON'T LET ME BE THE LAST TO KNOW;Oooh yeah...;INT01, USA2A;;
Britney Spears;4951;OOPS! I DID IT AGAIN;Oooh yeah...;INT01,USA2C;;
Britney Spears;5907;GIVE ME MORE;Everytime they turn the lights down;INT03, USA3D;;
Britney Spears;5994;TOXIC;Baby can't you see I'm calling;INT03, USA3D;;
Britney Spears;19108;I'M A SLAVE 4 U;All you people look at me like I'm a little girl;INT05C;;
Britney Spears;19141;PIECE OF ME;I'm Miss American dream since I was ;INT05D;;
Britney Spears;19155;WOMANIZER;Superstar where you from how's it going;INT05D;;
Britney Spears;19159;YOU DRIVE ME CRAZY;Baby I'm so into you;INT05D;;
Britney Spears;19498;IF U SEEK AMY;La la la... Oh baby baby have you seen;INT08A;;
Britney Spears;19632;SOMETIMES;You tell me you're in love with me;INT08D;;
Britney Spears;19669;STRONGER;Uh hey yeah hush just stop there's nothing ;INT09A;;
Britney Spears;19729;EVERYTIME;Notice me;INT09C;;
Britney Spears;19460;CRIMINAL;He is a hustler he's no good at all;INT7D;;
Brother Simion;5504;A VOZ DO ORIENTE;A notícia quente vem do Oriente;EVAN101;;
Brother Simion;5541;JABOTICABA;Jaboticaba yeah yeah oh;EVAN101;;
Brother Simion;5542;JEFF;Esta história começou assim de repen;EVAN101;;
Brother Simion;5548;LOUVAI;Louvai ao Senhor, louvai ao Senhor!;EVAN101;;
Brother Simion;5559;ORGULHO;Como é enganoso o coração;EVAN101;;
Br'oz;6672;PROMETIDA;Esse beijo da tua boca...;7A;;
Br'oz;6715;SE VOCÊ NÃO ESTÁ AQUI;Tarde... é tarde pra dizer...;7B;;
Bruce Dickinson;2656;TEARS OF THE DRAGON;For too long now there were secrets in my mind;INT04D;;
Bruce Hornsby and The Range;19274;THE WAY IT IS;Standing in line marking time waiting for the wefare;INT06C;;
Bruce Springsteen;5877;BORN IN THE USA;Born down in a dead man's town;INT03, USA3C;;
Bruce Springsteen;5888;DANCING IN THE DARK;I get up in the evening;INT03, USA3C;;
Bruce Springsteen;5982;STREETS OF PHILADELPHIA;I was;INT03, USA3D;;
Bruna Caram;1383;FIM DE TARDE;Eu só desperto quando acende o farol;17B;;
Bruna Caram;1394;PALAVRAS DO CORAÇÃO;São sorrisos largos lagos;17B;;
Bruna Caram;1992;CAMINHO PRO INTERIOR;A manhã nasceu lá fora;21A;;
Bruna Karla;2431;QUANDO EU CHORAR;Deus meu Deus tudo está tão difícil;EVAN04A;;
Bruna Karla;2444;ADVOGADO FIEL;Não vou me preocupar com as ;EVAN04B;;
Bruna Karla;2454;EU SEI QUE NÃO ESTOU SÓ;Senhor por mais que eu fale;EVAN04B;;
Bruna Karla;2466;QUE BOM QUE VOCÊ CHEGOU;Me sinto tão amada isso faz bem;EVAN04B;;
Bruna Karla;2473;SOU HUMANO;Deus mais uma vez segura em minha mão;EVAN04B;;
Bruna Viola - Bruno e Barreto;16317;QUEM É QUE NÃO GOSTA;Ele tava acostumado com mulher cheia;31A;;
Bruninho & Davi - Michel Teló;2940;VAMOS MEXER;A nossa vida não é brincadeira;22D;;
Bruninho e Davi;15117;SE NAMORAR FOSSE BOM;Se namorar fosse bom isso aqui tava vazio;23C;;
Bruninho e Davi;15411;FICO COM VOCÊ;Te ver e não te ter me dá um desespero;25C;;
Bruninho e Davi;15775;ME LEVA AMOR;Na primeira vez que a gente ficou ;27D;;
Bruninho e Davi;15941;IMAGINA COM AS AMIGAS;Ela é maluca é linda e sabe que é gostosa;28D;;
Bruninho e Davi - Gusttavo Lima;16268;FAIXA 3;Na segunda gaveta do meu armário guardo;30D;;
Bruninho e Davi - Jorge e Mateus;15550;ONDE NASCE O SOL;Hoje a saudade conversou comigo;26B;;
Bruninho e Davi - Luan Santana;16179;E ESSA BOCA AÍ;Sabe àquela hora no show que o cantor;30B;;
Bruno e Barreto;15897;FARRA, PINGA E FOGUETE;Hoje eu quero um dia de sossego...;28C;;
Bruno e Marrone;7368;FRUTO ESPECIAL;Gosto quando sua mão;10E;;
Bruno e Marrone;7460;TÁ PEGANDO;Tá no toque da sanfona tá no gosto do;10E;;
Bruno e Marrone;7634;MARIANNE;No dia do aniversário do nosso namo;11B;;
Bruno e Marrone;7723;VÊ SE TOMA JUÍZO;Não vou mais acreditar no que me fala;11C;;
Bruno e Marrone;7582;DESIGUAIS;Não faz mal sei que já não me quer;11D;;
Bruno e Marrone;9320;PRA NÃO MORRER DE AMOR;Melhor se me avisasse;12A;;
Bruno e Marrone;9494;NÃO TEM OUTRO JEITO;Se quer parar se quer pensar;13B;;
Bruno e Marrone;9386;AMOR DE BALADA;Saí;13C;;
Bruno e Marrone;9412;CASTELO DE AREIA;Vou tentando segurar é loucura te que;13C;;
Bruno e Marrone;9379;ABAFA O CASO;Abafa o caso;13D;;
Bruno e Marrone;9458;FICAR POR FICAR;Eu não quero só ficar quero mais que a;13D;;
Bruno e Marrone;9645;COISA DE PELE;Se eu te encontrar por aí;14A;;
Bruno e Marrone;9848;NÃO FAZ MAIS ISSO COMIGO;Não faz mais isso comigo;14D;;
Bruno e Marrone;9684;HOJE EU NÃO TÔ PRA NINGUÉM;Hoje eu amanheci machucado de paixão;14E;;
Bruno e Marrone;1172;NÃO TENTE ME IMPEDIR;Dundêrarium dundêrarium dundêrarium;16A;;
Bruno e Marrone;1193;AMOR NÃO VAI FALTAR;Me diz o que você quer que eu te faça;16A;;
Bruno e Marrone;1341;TE AMO TANTO;Tanto...;17A;;
Bruno e Marrone;1436;PODE IR EMBORA;Procurei em outros braços;17C;;
Bruno e Marrone;1447;CHAMEGO BOM;Ai que chamego bom;17D;;
Bruno e Marrone;1456;LÁGRIMAS E VINHO;Foi com flores e com vinho;17D;;
Bruno e Marrone;1468;SEJA BEM-VINDA;Encontrei no carro uma antiga agenda;17D;;
Bruno e Marrone;1650;CAI FORA;Cai fora eu tô em outra;19A;;
Bruno e Marrone;1663;BOM DEMAIS;Bom demais;19A;;
Bruno e Marrone;1675;HOJE AMOR, NÃO VAI DAR;Hoje amor não vai dar;19A;;
Bruno e Marrone;1682;AMIGA AMANTE E NAMORADA;Quando eu te conheci de fato me;19B;;
Bruno e Marrone;1718;TENTATIVAS EM VÃO;Se eu soubesse o que fazer;19B;;
Bruno e Marrone;1746;SONHANDO;Se passa o dia paro escuto o vento ;19C;;
Bruno e Marrone;2856;PAREDE DE VIDRO;Tá se escondendo em parede de vidro;22B;;
Bruno e Marrone;15064;COMO EU CHOREI;Eu nunca pensei que tivesse fim;23B;;
Bruno e Marrone;15109;FAVO DE MEL;Te liguei para testar o seu amor;23C;;
Bruno e Marrone;15199;VIDRO FUMÊ;Foi num telefonema anônimo;24A;;
Bruno e Marrone;15232;JÁ NÃO SEI MAIS NADA;Eu não sei dizer se este amor;24B;;
Bruno e Marrone;15680;VOU TE AMARRAR NA MINHA CAMA;Gatinha manhosa do beijo gostoso;27A;;
Bruno e Marrone;15793;TCHAU AMOR;Este é o nosso último encontro;27D;;
Bruno e Marrone;15886;CHORAR (LLORAR);Me perdi buscando te encontrar;28C;;
Bruno e Marrone;15935;DORMI NA PRAÇA (VERSÃO ESTÚDIO);Eu caminhei sozinho pela rua;28D;;
Bruno e Marrone;15970;ISSO CÊ NUM CONTA;Fala pra elas que o fim de semana;29A;;
Bruno e Marrone;3938;TE AMO E NÃO TE QUERO;Pegue tudo aquilo que é seu;2H;;
Bruno e Marrone;16174;AGORA (AHORA);Agora fala que me ama;30B;;
Bruno e Marrone;16185;JURAS DE AMOR;Eu pensei que fosse fácil esquecer;30B;;
Bruno e Marrone;3972;REI DO RODEIO;Eu sou peão, sou cabra macho bom;3A;;
Bruno e Marrone;3988;ALÇAPÃO;Você acha fácil chegar dizendo que;3B;;
Bruno e Marrone;4300;VIDA VAZIA;Depois que você foi embora...;4A;;
Bruno e Marrone;4302;AGARRADA EM MIM;Enquanto a cidade dorme eu aqui me;4B;;
Bruno e Marrone;6143;MEU JEITO DE SENTIR;Toda vez que vai sair o sol eu estou...;5B;;
Bruno e Marrone;6173;DORMI NA PRAÇA;Caminhei sozinho pela rua…;5C;;
Bruno e Marrone;6232;POR UM MINUTO;E todos os amantes já adormeceram...;5D;;
Bruno e Marrone;6247;AMOR DE CARNAVAL;Primavera chegou seu amor me pegou…;5E;;
Bruno e Marrone;6309;QUEM MANDA É O CORAÇÃO;Não vai dar pra segurar…;5F;;
Bruno e Marrone;6322;ACORRENTADO EM VOCÊ;Eu não sei o que é que eu faço...;5G;;
Bruno e Marrone;6395;UM BOM PERDEDOR;Sei que você pensa em me deixar…;5H;;
Bruno e Marrone;6431;PROGRAMA DE FIM DE SEMANA;Não me deixe fora da sua agenda….;6A;;
Bruno e Marrone;6448;BIJUTERIA;Quando a noite cai…;6B;;
Bruno e Marrone;6484;AGORA VAI;Vai Pode ir embora antes... ;6C;;
Bruno e Marrone;6529;CREDO EM CRUZ AVE-MARIA;Desce uma geladinha…;6D;;
Bruno e Marrone;6541;MENINA;Menina cada instante em minha vida…;6D;;
Bruno e Marrone;6615;LIGAÇÃO URBANA;Alô amor tô te ligando de um orelhão…;6F;;
Bruno e Marrone;6678;VAI DAR NAMORO;Do jeito que você me olha...;7A;;
Bruno e Marrone;6689;DEIXA;Deixa eu pelo menos falar de nós...;7B;;
Bruno e Marrone;6751;SERÁ;Sou o primeiro homem na Lua...;7C;;
Bruno e Marrone;6790;SE NÃO TIVESSE IDO;E eu pensei que nunca ia te perder...;7D;;
Bruno e Marrone;6837;TE AMAR FOI ILUSÃO;Eu sei....Talvez eu tenha ;7E;;
Bruno e Marrone;6844;APAZIGUAR;Outra vez nós dois brigamos;7F;;
Bruno e Marrone;6856;INEVITÁVEL;É animal é tão voraz essa paixão;7F;;
Bruno e Marrone;6972;QUER CASAR COMIGO?;Quer quer quer... quer casar comigo…;8A;;
Bruno e Marrone;6899;CHORAM AS ROSAS;Choram as rosas…;8C;;
Bruno e Marrone;7217;POR TE AMAR DEMAIS;Eu já sei sei que vai ligar;9A;;
Bruno e Marrone;7229;QUE PESCAR QUE NADA;Já paguei quem eu devia;9B;;
Bruno e Marrone;7120;ENTÃO PODE IR;Você me fala com tanta certeza;9C;;
Bruno e Marrone ;1250;DUAS VEZES VOCÊ ;Se a saudade não doesse assim;16C;;
Bruno e Marrone ;1255;FLASH BACK DE NÓS DOIS ;Mas se quiser pode rolar;16C;;
Bruno e Marrone E Calypso;6967;POR QUE CHORAS?;Porque chora assim…;8A;;
Bruno e Marrone-Edson e Hudson;9387;AMOR DE PING PONG;E esse amor de ping pong;13D;;
Bruno Mars;19009;IT WILL RAIN;If you ever leave me baby;INT05A;;
Bruno Mars;19036;JUST THE WAY YOU ARE;Oh her eyes her eyes make the stars;INT05A;;
Bruno Mars;19019;TALKING TO THE MOON;I know you're somewhere out there;INT05A;;
Bruno Mars;19021;THE LAZY SONG;Today I don't feel like doing anything;INT05A;;
Bruno Mars;19054;GRENADE;Easy come easy go that's just how you live;INT05B;;
Bruno Mars;19061;LOCKED OUT OF HEAVEN;Oh yeah...Never had much faith in love;INT05B;;
Bruno Mars;19197;WHEN I WAS YOUR MAN;Same bed but it feels just a little bit bigger now;INT06A;;
Bruno Mars;19290;GORILLA;Ooh I got a body full of liquor with a cocaine kicker;INT06D;;
Bruno Mars;19675;TREASURE;Give me your give me your;INT09A;;
Bruno Mars;19715;THAT'S WHAT I LIKE;Hey hey hey I got a condo in Manhattan;INT09B;;
Bruno Mars;19467;MARRY YOU;It's a beautiful night;INT7D;;
Bruno Mars - Mark Ronson;19403;UPTOWN FUNK;This hit that ice cold Michelle Pfeiffer that;INT07C;;
Bryan Adams;4898;HAVE YOU EVER REALLY LOVED A WOMAN;To really love a woman...;INT01, USA2A;;
Bryan Adams;4875;CAN'T STOP THIS THINGS WE STARTED;Yeah...;INT01,USA2C;;
Bryan Adams;4706;EVERYTHING I DO (I DO IT FOR YOU);Look into my eyes you will see...;USAF;;
Bryan Ferry ;9234;SLAVE TO LOVE ; Tell her I be waiting in the usual plac ;INT02, A44;;
Bubble Gum Brothers;5188;WON'T  BE LONG;Oly oly oly oh! yaly yaly yaly yah!;JP1;;
Buchecha;15459;FRUTILLY;Praia sol e mar;25D;;
Buchecha;15900;HOT DOG;É que eu sou hot hot é que eu sou hot dog;28C;;
Buchecha - Belo;15326;CRISTAL;Tão encantada ela vem me faz flutuar;25A;;
Buddy Holly;9124;I'M LOOKIN' FOR SOMEONE TO LOVE;Stayin' at home waitin' for you…;INT02, 8F;;
Buru Kometsu e J. Yoshikavi;5108;BLUE CHATEAUX;Morito izumini kakomarete;JP1;;
Byafra;2876;HELENA;Noite que se foi sem se quer dizer pra onde foi ;22C;;
BZ;5274;ALONE;yuuyake no mati wa hagueshissa o...;JP1;;
B'z;5679;CALLING;Kono koe ga kikoeru...;JP3;;
B'z;5687;DON'T LEAVE ME;Oshikunai kimi wo ushinatte...;JP3;;
B'z;18372;ITSUKA NO MERRY CHRISTMAS;Yuhkuri to juhnigatsu no akari ga tomori;JP7A;;
C. EVANGÉLICA VILA DA PENHA;5626;NOSSO DEUS É SOBERANO;Me rendo aos Teus pés venho rasgar...;EVA;;
